date,gender,time_code,time_label,url,year_pillar,month_pillar,day_pillar,hour_pillar,minggong,taiyuan,year_void,day_void,patterns,luck_start
1985-12-23,male,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-1-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,食神 戊子 癸正官,正财 辛巳 丙比肩；庚偏财；戊食神,伤官 己卯 乙正印,戌亥空,辰巳空,食神格 正官格,1991-02-24
1985-12-23,male,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-3-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,伤官 己丑 己伤官；辛正财；癸正官,偏财 庚辰 戊食神；乙正印；癸正官,伤官 己卯 乙正印,戌亥空,辰巳空,伤官格 食神格 正官格,1991-03-06
1985-12-23,male,5,3-5点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-5-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,偏财 庚寅 甲枭；丙比肩；戊食神,伤官 己卯 乙正印,伤官 己卯 乙正印,戌亥空,辰巳空,食神格 偏财格 正印格 正官格,1991-03-17
1985-12-23,male,7,5-7点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-7-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,正财 辛卯 乙正印,食神 戊寅 甲枭；丙比肩；戊食神,伤官 己卯 乙正印,戌亥空,辰巳空,正印格 正财格 食神格 正官格 化气格,1991-03-27
1985-12-23,male,9,7-9点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-9-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,杀 壬辰 戊食神；乙正印；癸正官,伤官 己丑 己伤官；辛正财；癸正官,伤官 己卯 乙正印,戌亥空,辰巳空,食神格 正印格 杀格 正官格,1991-04-06
1985-12-23,male,11,9-11点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-11-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,正官 癸巳 丙比肩；庚偏财；戊食神,食神 戊子 癸正官,伤官 己卯 乙正印,戌亥空,辰巳空,正官格 食神格,1991-04-16
1985-12-23,male,13,11-13点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-13-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,枭 甲午 丁劫财；己伤官,劫财 丁亥 壬杀；甲枭,伤官 己卯 乙正印,戌亥空,辰巳空,食神格 正官格,1991-04-27
1985-12-23,male,15,13-15点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-15-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,正印 乙未 己伤官；丁劫财；乙正印,比肩 丙戌 戊食神；辛正财；丁劫财,伤官 己卯 乙正印,戌亥空,辰巳空,正印格 食神格 正官格,1991-05-07
1985-12-23,male,17,15-17点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-17-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,比肩 丙申 庚偏财；壬杀；戊食神,正印 乙酉 辛正财,伤官 己卯 乙正印,戌亥空,辰巳空,食神格 正官格,1991-05-17
1985-12-23,male,19,17-19点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-19-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,劫财 丁酉 辛正财,枭 甲申 庚偏财；壬杀；戊食神,伤官 己卯 乙正印,戌亥空,辰巳空,食神格 真三奇格 天三奇格 正官格,1991-05-27
1985-12-23,male,21,19-21点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-21-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,食神 戊戌 戊食神；辛正财；丁劫财,正官 癸未 己伤官；丁劫财；乙正印,伤官 己卯 乙正印,戌亥空,辰巳空,食神格 从格 正官格,1991-06-07
1985-12-23,male,23,21-23点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-23-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,伤官 己亥 壬杀；甲枭,杀 壬午 丁劫财；己伤官,伤官 己卯 乙正印,戌亥空,辰巳空,伤官格 正印格 食神格 正官格,1991-06-17
1985-12-23,male,24,23-24点,http://mfsm.kvov.com/fx/1985-12-23/bzmp-24-1.html,正印 乙丑 己伤官；辛正财；癸正官,食神 戊子 癸正官,日主 丙申 庚偏财；壬杀；戊食神,偏财 庚子 癸正官,正财 辛巳 丙比肩；庚偏财；戊食神,伤官 己卯 乙正印,戌亥空,辰巳空,偏财格 食神格 正官格,1991-06-22
