date,gender,gender_label,time_code,time_label,url,row_index,confidence,basis,analysis
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,1,71%,本命 官禄宫 坐守 巨门,适合自由业、动口生财，以药为业，药剂师、医生，以学术为业，学者、出版、书局，五术、中介，事业有扩充之心，但常适得其反，不宜作大，易招刑杖。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,2,71%,本命 坐守 太阳,"慷慨、慈和，气量宽宏，宜白天出生的人，不宜晚上出生的人。
晚上出生的人刑克男性六亲的程度大，白天出生的人刑克男性六亲的程度小。"
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,3,71%,本命 迁移宫 坐守 化权,外出较能展现才华能干，在外好动，喜掌权，受人器重，易与人有争执、摩擦，应避免锋芒毕露而遭嫉。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,4,71%,本命 田宅宫 坐守 禄存,家产多，祖业昌荣。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,5,71%,本命 夫妻宫 坐守 天同,"男命得贤内助，聪明美丽，女命得夫温柔体贴，感情和睦。
但天同于辰、戌、丑、未宫配偶年纪较小，易有外遇。"
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,6,71%,本命 福德宫 坐守 化禄,"有福可享、生活较讲究。
乐善好施，愈布施、愈有财富、食禄、福禄，明去暗来。
头脑聪慧，乃前世修来之聪明，悟性很高。"
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,7,71%,本命 交友宫 坐守 天相,下属及友人对自己忠诚。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,8,71%,本命 田宅宫 坐守 化科,住宅舒适，不喜搬家，居家朴实，家中整洁、舒爽、高雅，相处和睦，家庭温暖，互相关怀。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,9,69%,本命 兄弟宫 加会 贪狼 火星,横发。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,10,68%,"本命 坐守 右弼
本命 三方四正不见 左辅",即使下属众多，也助力不多，可能仅为代人管理。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,11,67%,本命 坐守 天魁,"圆脸、面短，额与地阁(即下巴两侧)均呈圆形，有威仪。
地阁尖方，或尖圆而小，中矮身材，微瘦。"
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,12,67%,本命 官禄宫 坐守 擎羊,为工程科技人员。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,13,67%,本命 夫妻宫 坐守 文昌,"感情随心情之变化大，有文艺气息。
男命有吸引力，有气质，玩弄风情。"
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,14,67%,本命 福德宫 坐守 陀罗,多忧愁。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,15,67%,本命 坐守 右弼,中矮身材，有痣，或有斑点，地阁尖方，或尖圆。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,16,67%,本命 夫妻宫 坐守 铃星,感情容易有阻碍，夫妻之间有时争吵不休，有时又会有冷战的场面，所以，在遇到任何问题时，都能平心静气的面对，多些耐心与包容，并培养共同的兴趣及爱好，必可减轻婚姻破裂的危机。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,17,66%,本命 财帛宫 加会3个及以上 化忌 火星 铃星 地劫 地空 陀罗 擎羊,钱财必有大破败的情况，纵发一时之财，也会因财致祸，多财务纠纷，财不能久留。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,18,66%,乙年出生,感性多情又执着，容易情绪不稳，过于完美主义又爱钻牛角尖，经常吹毛求疵让人受不了。而且还是个夜猫族，喜欢夜不归宿，容易流连灯红酒绿的场合，让人捉摸不定很没安全感，将成为其感情的致命伤。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,19,66%,本命 疾病宫 加会3个及以上 化忌 火星 铃星 地劫 地空 陀罗 擎羊,一生多病多灾，或受慢性病的折磨而难以治疗。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,20,64%,本命 财帛宫 加会 天魁 天钺,有生财的机会，常常由于曲章制度的改变而带来。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,21,64%,本命 夫妻宫 坐守 寡宿,会一相情愿的认定对方应该知道自己在想些什么，只要另一半稍微不注意自己，或是外出时忽略了自己的存在，就很有可能会生闷气，等到另一半终于发现，问说到底为何生气时，他们也会[问你自己啊！]把对方弄得一头雾水的。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,22,64%,本命 财帛宫 加会 左辅 右弼,衣禄丰隆，可凭别人助力求财，可考虑独立经营。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,23,64%,本命 加会 天魁 天钺,有学识，高学历，端庄，一生多助人，也多得众人相助，能逢凶化吉，遇难呈祥。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,24,64%,本命 官禄宫 加会 天魁 天钺,事业上多贵人，特别是上级、尊长的支持，凡遇困难都会逢凶化吉。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,25,61%,本命 交友宫 加会2个及以上 火星 铃星 地劫 地空 陀罗 擎羊,多小人、破耗、纠纷、是非，易遭背弃与损害。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,26,61%,本命 夫妻宫 加会2个及以上 红鸾 天喜 咸池 天姚 沐浴,有选择较潇洒花俏的对象倾向外，在对异性的感情方面，也会较感性和感情较丰富。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,27,61%,本命 迁移宫 加会2个及以上 左辅 右弼 天魁 天钺,工作职业，外出多得贵人扶助，逢凶化吉，而发财。动中每得贵人扶助，逢凶化吉。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,28,61%,本命 加会2个及以上 红鸾 天喜 咸池 天姚 沐浴,"长相不赖，举止斯文得体，善于在有意无意间释放魅力，人缘好，能得到异性的青睐，处事的手腕圆滑，能接受新观念，即使不放电，也满容易得到异性的怜爱与包容。
由于思维细腻，第六感敏锐，才华洋溢，好高骛远，对于浪漫的爱情生活十分积极主动，也十分向往，善用智慧及创意才华来赚钱。
偏财运及横财运好，也十分喜欢钱财，会追求高收入以满足自己的生活品味及兴趣爱好。有完美主义的刚烈个性，很有企图心，拼劲十足，韧性很强，能够不畏困难完成使命，努力追求自我成就。"
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,29,61%,本命 子宫,善机变，喜投机取巧，热情开朗，乐观，多情，事业因有机巧而容易成功，异性缘好。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,30,60%,本命 财帛宫 加会 恩光 天贵,能受人提拔而得财。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,31,60%,本命 财帛宫 加会 天官 天福,能受人提拔而得财。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,32,59%,本命 夫妻宫 坐守1个及以上 火星 铃星 地劫 地空 陀罗 擎羊,配偶往往多有特殊个性或刚强，有主见，有时会增加婚姻的纠纷与争执，多多少少有些困扰。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,33,59%,本命 夫妻宫 坐守1个及以上 天梁 天同 天机 太阴,自身会倾向于选择外表和个性属于较温和的人。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,34,59%,本命 福德宫 坐守1个及以上 陀罗 天空,不畏挫折，挥霍，灵感佳。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,35,59%,本命 坐守1个及以上 地劫 地空 大耗,青少年贫困，破财不聚，多浪费消耗，事业发展艰难。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,36,59%,本命 福德宫 坐守1个及以上 化忌 陀罗 擎羊 天刑,多烦恼纠纷，福薄不安。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,37,59%,本命 夫妻宫 坐守1个及以上 贪狼 巨门 破军 七杀 文昌 文曲 左辅 右弼 天魁 天钺 咸池 天姚,易有桃花。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,38,58%,本命 福德宫 坐守 长生,思想、内涵可以通过不断思考而成长。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,39,54%,本命 福德宫 加会1个及以上 孤辰 寡宿,精神空虚，思想独立。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,40,54%,本命 加会1个及以上 左辅 右弼 天魁 天钺,能得朋友提携、相助之力。
1985-12-23,male,男命,1,0-1点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-1-1.html,41,50%,身宫 命宫,"主观强烈，不易受外在环境之影响，讨得这类人的欢心，需要极力讨好，做到对方感觉以自我为中心。
个性强，固执，坦率耿直，口硬心软，行事之功过大都自己承担，命运可能大好也可能大坏，一般来讲，平生较劳碌。
宫吉、三方吉拱，就能大好；宫凶、三方又凶则不稳定。"
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,1,80%,本命 夫妻宫 坐守 武曲 文昌,配偶才华横溢，能文能武。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,2,80%,本命 交友宫 坐守 太阴 火星,小心同事、朋友背叛。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,3,80%,"本命 交友宫 坐守 太阴
本命 交友宫 坐守1个及以上 火星 铃星",为友人或下属之事而奔忙。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,4,78%,"本命 空宫
本命 加会2个及以上 火星 铃星 地劫 地空 陀罗 擎羊",两姓延生，不然破相。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,5,76%,"身宫 加会 文昌 文曲 化科
身宫 不坐守 命宫",在文学功名方面有天赋和成就。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,6,76%,"本命 坐守 天马
本命 坐守1个及以上 红鸾 天喜 咸池 天姚 沐浴",自身一生桃花不断。
1985-12-23,male,男命,3,1-3点,http://mfsm.kvov.com/fx/1985-12-23/mfsmm-3-1.html,7,75%,"本命 官禄宫 坐守 天府
本命 官禄宫 加会1个及以上 禄存 化禄",事业亨通。
