date,gender,time_code,time_label,url,year_pillar,month_pillar,day_pillar,hour_pillar,minggong,taiyuan,year_void,day_void,patterns,luck_start
1995-07-11,female,1,0-1点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-1-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,劫财 壬子 癸比肩,正财 丙戌 戊正官；辛枭；丁偏财,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 从格 杀格,2004-12-12
1995-07-11,female,3,1-3点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-3-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,比肩 癸丑 己杀；辛枭；癸比肩,食神 乙酉 辛枭,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 从格 杀格,2004-12-02
1995-07-11,female,5,3-5点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-5-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,伤官 甲寅 甲伤官；丙正财；戊正官,伤官 甲申 庚正印；壬劫财；戊正官,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 伤官格 从格 杀格,2004-11-22
1995-07-11,female,7,5-7点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-7-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,食神 乙卯 乙食神,比肩 癸未 己杀；丁偏财；乙食神,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 从格 杀格,2004-11-12
1995-07-11,female,9,7-9点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-9-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,正财 丙辰 戊正官；乙食神；癸比肩,劫财 壬午 丁偏财；己杀,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 正财格 杀格,2004-11-02
1995-07-11,female,11,9-11点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-11-2.html,食神 乙亥 壬劫财；甲伤官,劫财 壬午 丁偏财；己杀,日主 癸卯 乙食神,偏财 丁巳 丙正财；庚正印；戊正官,劫财 壬午 丁偏财；己杀,比肩 癸酉 辛枭,申酉空,辰巳空,偏财格 食神格 从格 地三奇格,2004-10-23
1995-07-11,female,13,11-13点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-13-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,正官 戊午 丁偏财；己杀,正印 庚辰 戊正官；乙食神；癸比肩,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 正官格 杀格,2004-10-13
1995-07-11,female,15,13-15点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-15-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,杀 己未 己杀；丁偏财；乙食神,杀 己卯 乙食神,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,杀格 食神格,2004-10-03
1995-07-11,female,17,15-17点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-17-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,正印 庚申 庚正印；壬劫财；戊正官,正官 戊寅 甲伤官；丙正财；戊正官,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 正印格 从格 杀格,2004-09-23
1995-07-11,female,19,17-19点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-19-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,枭 辛酉 辛枭,杀 己丑 己杀；辛枭；癸比肩,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 枭格 从格 杀格,2004-09-13
1995-07-11,female,21,19-21点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-21-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,劫财 壬戌 戊正官；辛枭；丁偏财,正官 戊子 癸比肩,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 从格 杀格,2004-09-03
1995-07-11,female,23,21-23点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-23-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,比肩 癸亥 壬劫财；甲伤官,偏财 丁亥 壬劫财；甲伤官,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 从格 杀格,2004-08-24
1995-07-11,female,24,23-24点,http://mfsm.kvov.com/fx/1995-07-11/bzmp-24-2.html,食神 乙亥 壬劫财；甲伤官,比肩 癸未 己杀；丁偏财；乙食神,日主 癸卯 乙食神,伤官 甲子 癸比肩,正财 丙戌 戊正官；辛枭；丁偏财,伤官 甲戌 戊正官；辛枭；丁偏财,申酉空,辰巳空,食神格 伤官格 从格 杀格,2004-08-19
